Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_00006,Similar to JAKMIP3 Janus kinase and microtubule-interacting protein 3 (Homo sapiens),NA,NA,NA,NA,NA,NA,0.845036565,0.060650658,NA,NA,NA,NA,NA,NA
TCAL_00029,Similar to TARBP1 Probable methyltransferase TARBP1 (Homo sapiens),0.000994268,1,NA,NA,NA,NA,NA,NA,NA,NA,0.361407742,0.080247741,NA,NA
TCAL_00039,Similar to Kansl3 KAT8 regulatory NSL complex subunit 3 (Mus musculus),0.000284587,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00040,Similar to CDC45 Cell division control protein 45 homolog (Homo sapiens),0.000356434,3,0.276359745,0.06633577,0.303422956,0.013247178,0.25843031,0.038165127,0.250353965,0.052471726,NA,NA,NA,NA
TCAL_00043,nuclear transcription factor Y subunit beta-like,0.02604789,1,NA,NA,NA,NA,3.220935393,0.094600201,NA,NA,NA,NA,-4.005942675,0.083934925
TCAL_00047,Protein of unknown function,2.86E-31,1,NA,NA,NA,NA,NA,NA,0.778581775,1.24E-09,0.887517511,2.67E-12,NA,NA
TCAL_00051,"Similar to CG16935 Enoyl-[acyl-carrier-protein] reductase, mitochondrial (Drosophila melanogaster)",0.001162687,2,NA,NA,0.278866492,0.090299056,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00099,Similar to Zfyve19 Abscission/NoCut checkpoint regulator (Mus musculus),0.000405253,3,NA,NA,0.263745599,0.07643044,0.309099508,0.012499503,NA,NA,NA,NA,NA,NA
TCAL_00113,Similar to egr1-b Early growth response protein 1-B (Xenopus laevis),3.28E-10,4,-1.200226692,4.96E-08,-0.861624821,0.000112915,-1.083301956,1.71E-07,NA,NA,0.820589627,0.00044954,NA,NA
TCAL_00116,Similar to ldhA D-lactate dehydrogenase (Escherichia coli (strain K12)),0.002707484,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00125,Similar to foxo1b Forkhead box protein O1-B (Danio rerio),1.31E-05,2,NA,NA,0.228184867,0.092996489,0.246597295,0.03472311,NA,NA,-0.288200659,0.010712426,NA,NA
TCAL_00127,Similar to UNC79 Protein unc-79 homolog (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.399390328,0.0914242,NA,NA
TCAL_00134,Similar to xpo4 Exportin-4 (Xenopus laevis),0.000539399,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00144,Similar to fem1c Protein fem-1 homolog C (Xenopus laevis),4.39E-07,5,NA,NA,NA,NA,NA,NA,-0.18372067,0.087758602,-0.206741418,0.045767167,-0.21808105,0.095431863
TCAL_00156,Similar to Rdl Gamma-aminobutyric acid receptor subunit beta (Musca domestica),0.000554633,2,NA,NA,0.318091215,0.000349584,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00162,Similar to Sh3kbp1 SH3 domain-containing kinase-binding protein 1 (Rattus norvegicus),0.00204967,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00168,Similar to D3Ertd751e UPF0462 protein C4orf33 homolog (Mus musculus),NA,NA,NA,NA,1.454679353,0.016138065,NA,NA,1.177435232,0.074932936,1.451211649,0.023590865,NA,NA
TCAL_00171,Similar to Daam2 Disheveled-associated activator of morphogenesis 2 (Mus musculus),0.000568736,7,NA,NA,NA,NA,0.358112025,0.03177181,NA,NA,NA,NA,-0.385256176,0.074580975
TCAL_00182,Similar to rtn1-a Reticulon-1-A (Xenopus laevis),0.00319496,8,NA,NA,-0.213736932,0.011978989,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00188,Similar to znf395 Zinc finger protein 395 (Xenopus laevis),0.001200326,4,NA,NA,NA,NA,NA,NA,NA,NA,1.724290101,0.00078306,NA,NA
TCAL_00194,Similar to Glut1 Glucose transporter type 1 (Drosophila melanogaster),7.63E-15,8,NA,NA,-0.399645932,0.000121639,-0.418528243,2.50E-05,-0.53982686,9.26E-09,NA,NA,NA,NA
TCAL_00198,Similar to pyx Transient receptor potential channel pyrexia (Drosophila melanogaster),1.11E-06,8,-1.291246874,0.019778232,-1.199262507,0.016408255,-1.131153809,0.015845314,-1.062538076,0.028685502,NA,NA,NA,NA
TCAL_00203,Similar to slc12a8 Solute carrier family 12 member 8 (Xenopus laevis),0.000147173,6,NA,NA,NA,NA,NA,NA,-0.475894173,0.031858044,NA,NA,NA,NA
TCAL_00205,Similar to rhbg-a Ammonium transporter Rh type B-A (Xenopus laevis),0.000301768,6,NA,NA,NA,NA,-0.487441203,0.027426305,-0.551772156,0.007722684,NA,NA,NA,NA
TCAL_00206,Similar to Mvl Protein Malvolio (Drosophila melanogaster),4.24E-08,1,NA,NA,NA,NA,NA,NA,0.776312422,0.000347358,1.093929936,9.31E-08,NA,NA
TCAL_00210,Similar to TMEM165 Transmembrane protein 165 (Homo sapiens),0.000812631,6,NA,NA,NA,NA,-0.219768761,0.067042757,NA,NA,NA,NA,NA,NA
TCAL_00215,Similar to CG12163 Putative cysteine proteinase CG12163 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.189422118,0.046864418,NA,NA,NA,NA,NA,NA
TCAL_00224,Similar to Chymotrypsin BI (Litopenaeus vannamei),4.55E-06,8,NA,NA,NA,NA,-0.247875327,0.070312531,-0.366626882,0.001136411,NA,NA,NA,NA
TCAL_00225,mucin-5AC isoform X1,7.26E-12,4,-0.514108257,0.00166777,-0.486837879,0.001713981,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00238,Similar to Fit1 Unc-112-related protein (Drosophila melanogaster),0.002506057,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.258843806,0.023590865,NA,NA
